accommodation_id,name,type,address,city,country,postal_code,latitude,longitude,star_rating,amenities,room_types,check_in_time,check_out_time,cancellation_policy,pet_policy,parking_available,wifi_available,breakfast_included,gym_available,pool_available,spa_available,business_center,room_service,concierge_service,contact_phone,contact_email,images,description,created_at,updated_at
ACC166850,Grand Condo Gold Coast,Condo,"7385 Pine St, Gold Coast",Gold Coast,Australia,55630,46.806134,-62.677259,3,"[""Gym"", ""Restaurant"", ""Room Service"", ""Airport Shuttle"", ""Pool"", ""WiFi"", ""Laundry Service"", ""Elevator""]","[""Ocean View Room"", ""Cabin"", ""City View Room"", ""Garden View Room"", ""Standard Room"", ""Double Room"", ""Single Room"", ""Suite""]",16:00,13:00,Free cancellation,No pets allowed,True,True,True,True,True,False,True,True,False,+54-939-992-5325,info@grandcondogoldcoast.com,"[""https://example.com/images/grand_condo_gold_coast_1.jpg"", ""https://example.com/images/grand_condo_gold_coast_2.jpg"", ""https://example.com/images/grand_condo_gold_coast_3.jpg"", ""https://example.com/images/grand_condo_gold_coast_4.jpg"", ""https://example.com/images/grand_condo_gold_coast_5.jpg"", ""https://example.com/images/grand_condo_gold_coast_6.jpg"", ""https://example.com/images/grand_condo_gold_coast_7.jpg""]","Experience luxury and comfort at Grand Condo Gold Coast, located in the heart of Gold Coast.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC962976,Grand Harajuku Palace,Boutique Hotel,"2990 Pine St, Harajuku",Harajuku,Japan,91380,-21.10609,27.312572,4,"[""Elevator"", ""Airport Shuttle"", ""Concierge"", ""Spa"", ""24/7 Front Desk"", ""Golf Course"", ""Restaurant"", ""Tennis Court""]","[""Presidential Suite"", ""Penthouse"", ""Ocean View Room"", ""Villa""]",15:00,12:00,Partial refund,Pet friendly,False,False,False,False,True,False,False,True,False,+85-254-697-6174,info@grandharajukupalace.com,"[""https://example.com/images/grand_harajuku_palace_1.jpg"", ""https://example.com/images/grand_harajuku_palace_2.jpg"", ""https://example.com/images/grand_harajuku_palace_3.jpg"", ""https://example.com/images/grand_harajuku_palace_4.jpg"", ""https://example.com/images/grand_harajuku_palace_5.jpg""]","Your gateway to Harajuku, Grand Harajuku Palace offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC472383,Inn Bed & Breakfast Montreal,Bed & Breakfast,"6709 Pine St, Montreal",Montreal,Canada,89443,-15.424748,129.228707,2,"[""Laundry Service"", ""Gym"", ""Restaurant"", ""Bar"", ""24/7 Front Desk"", ""WiFi"", ""Room Service"", ""Fitness Center"", ""Airport Shuttle"", ""Tennis Court"", ""Elevator""]","[""Double Room"", ""Pool View Room"", ""Garden View Room"", ""Single Room""]",16:00,12:00,Free cancellation,Pet friendly,False,False,True,True,True,True,True,True,False,+82-138-746-7844,info@innbed&breakfastmontreal.com,"[""https://example.com/images/inn_bed_&_breakfast_montreal_1.jpg"", ""https://example.com/images/inn_bed_&_breakfast_montreal_2.jpg"", ""https://example.com/images/inn_bed_&_breakfast_montreal_3.jpg"", ""https://example.com/images/inn_bed_&_breakfast_montreal_4.jpg"", ""https://example.com/images/inn_bed_&_breakfast_montreal_5.jpg"", ""https://example.com/images/inn_bed_&_breakfast_montreal_6.jpg""]","Experience luxury and comfort at Inn Bed & Breakfast Montreal, located in the heart of Montreal.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC218080,Palace Bed & Breakfast Düsseldorf,Bed & Breakfast,"7530 Broadway, Düsseldorf",Düsseldorf,Germany,76653,26.450108,156.253828,5,"[""Business Center"", ""Concierge"", ""Airport Shuttle"", ""Restaurant"", ""Room Service"", ""24/7 Front Desk"", ""WiFi"", ""Spa"", ""Beach Access"", ""Golf Course"", ""Fitness Center"", ""Pet Friendly""]","[""City View Room"", ""Presidential Suite"", ""Standard Room"", ""Pool View Room"", ""Villa"", ""Family Room"", ""Cabin""]",16:00,13:00,Partial refund,Pets on request,True,True,True,True,True,False,True,False,True,+60-377-301-5259,info@palacebed&breakfastdüsseldorf.com,"[""https://example.com/images/palace_bed_&_breakfast_d\u00fcsseldorf_1.jpg"", ""https://example.com/images/palace_bed_&_breakfast_d\u00fcsseldorf_2.jpg"", ""https://example.com/images/palace_bed_&_breakfast_d\u00fcsseldorf_3.jpg""]","Your gateway to Düsseldorf, Palace Bed & Breakfast Düsseldorf offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC708311,Inn Lodge Gion,Lodge,"5771 Park Ave, Gion",Gion,Japan,60850,57.117344,75.422153,5,"[""Concierge"", ""Bar"", ""Parking"", ""Beach Access"", ""Elevator"", ""Pet Friendly"", ""Business Center"", ""Room Service"", ""Fitness Center"", ""Restaurant"", ""Golf Course"", ""WiFi"", ""Pool""]","[""Villa"", ""Presidential Suite"", ""Cabin"", ""Ocean View Room"", ""City View Room"", ""Standard Room"", ""Pool View Room""]",14:00,12:00,Free cancellation,Pet friendly,True,False,True,False,False,True,True,True,True,+52-955-120-5659,info@innlodgegion.com,"[""https://example.com/images/inn_lodge_gion_1.jpg"", ""https://example.com/images/inn_lodge_gion_2.jpg"", ""https://example.com/images/inn_lodge_gion_3.jpg"", ""https://example.com/images/inn_lodge_gion_4.jpg"", ""https://example.com/images/inn_lodge_gion_5.jpg"", ""https://example.com/images/inn_lodge_gion_6.jpg"", ""https://example.com/images/inn_lodge_gion_7.jpg""]","Experience luxury and comfort at Inn Lodge Gion, located in the heart of Gion.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC685506,Villa Guesthouse Swansea,Guesthouse,"3575 First Ave, Swansea",Swansea,United Kingdom,34151,-15.273347,24.886977,5,"[""Parking"", ""Airport Shuttle"", ""Restaurant"", ""Laundry Service"", ""WiFi"", ""Beach Access"", ""Spa"", ""Concierge"", ""Fitness Center"", ""Bar""]","[""Standard Room"", ""Deluxe Room"", ""City View Room"", ""Pool View Room"", ""Double Room""]",16:00,11:00,Free cancellation,No pets allowed,True,True,False,False,True,False,True,False,True,+26-238-964-1585,info@villaguesthouseswansea.com,"[""https://example.com/images/villa_guesthouse_swansea_1.jpg"", ""https://example.com/images/villa_guesthouse_swansea_2.jpg"", ""https://example.com/images/villa_guesthouse_swansea_3.jpg"", ""https://example.com/images/villa_guesthouse_swansea_4.jpg"", ""https://example.com/images/villa_guesthouse_swansea_5.jpg"", ""https://example.com/images/villa_guesthouse_swansea_6.jpg""]","Experience luxury and comfort at Villa Guesthouse Swansea, located in the heart of Swansea.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC525436,Palace Cabin Grenoble,Cabin,"9655 Elm St, Grenoble",Grenoble,France,69215,47.023433,160.215617,1,"[""Elevator"", ""Laundry Service"", ""Beach Access"", ""Airport Shuttle"", ""Pet Friendly"", ""WiFi"", ""Business Center"", ""Dry Cleaning"", ""Spa"", ""24/7 Front Desk"", ""Parking"", ""Room Service"", ""Restaurant"", ""Fitness Center""]","[""Villa"", ""Single Room"", ""Garden View Room""]",14:00,12:00,Free cancellation,Pet friendly,False,True,True,True,False,False,False,False,True,+67-994-117-4290,info@palacecabingrenoble.com,"[""https://example.com/images/palace_cabin_grenoble_1.jpg"", ""https://example.com/images/palace_cabin_grenoble_2.jpg"", ""https://example.com/images/palace_cabin_grenoble_3.jpg"", ""https://example.com/images/palace_cabin_grenoble_4.jpg"", ""https://example.com/images/palace_cabin_grenoble_5.jpg"", ""https://example.com/images/palace_cabin_grenoble_6.jpg""]",Immerse yourself in the culture of Grenoble while enjoying world-class facilities at Palace Cabin Grenoble.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC344657,Royal Hamilton Resort,Hotel,"4907 Park Ave, Hamilton",Hamilton,Canada,94249,-9.207912,59.725353,2,"[""Golf Course"", ""Business Center"", ""Pet Friendly"", ""Fitness Center"", ""Beach Access"", ""24/7 Front Desk"", ""Room Service"", ""Dry Cleaning""]","[""Family Room"", ""Studio"", ""Suite"", ""Cabin"", ""Standard Room"", ""Ocean View Room"", ""Garden View Room"", ""Pool View Room""]",15:00,11:00,Free cancellation,Pet friendly,True,True,True,False,True,True,True,True,False,+45-310-407-5821,info@royalhamiltonresort.com,"[""https://example.com/images/royal_hamilton_resort_1.jpg"", ""https://example.com/images/royal_hamilton_resort_2.jpg"", ""https://example.com/images/royal_hamilton_resort_3.jpg"", ""https://example.com/images/royal_hamilton_resort_4.jpg"", ""https://example.com/images/royal_hamilton_resort_5.jpg""]","Your gateway to Hamilton, Royal Hamilton Resort offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC613334,Lodge Aberdeen Inn,Boutique Hotel,"9574 Broadway, Aberdeen",Aberdeen,United Kingdom,99570,11.110686,111.306356,3,"[""Business Center"", ""WiFi"", ""Tennis Court"", ""Dry Cleaning"", ""24/7 Front Desk"", ""Concierge"", ""Airport Shuttle"", ""Parking"", ""Pet Friendly""]","[""Family Room"", ""Garden View Room"", ""Villa"", ""Penthouse"", ""Studio"", ""Ocean View Room"", ""Pool View Room"", ""Double Room""]",15:00,12:00,Free cancellation,Pet friendly,False,False,True,False,False,True,True,True,False,+62-503-234-8078,info@lodgeaberdeeninn.com,"[""https://example.com/images/lodge_aberdeen_inn_1.jpg"", ""https://example.com/images/lodge_aberdeen_inn_2.jpg"", ""https://example.com/images/lodge_aberdeen_inn_3.jpg"", ""https://example.com/images/lodge_aberdeen_inn_4.jpg""]","Relax and unwind at Lodge Aberdeen Inn, where every detail is designed for your comfort.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC828760,Resort Inn Erie,Inn,"9848 Main St, Erie",Erie,United States,78828,9.685573,120.521248,5,"[""Bar"", ""Concierge"", ""Business Center"", ""Pool"", ""WiFi"", ""Dry Cleaning"", ""Restaurant"", ""Gym"", ""Airport Shuttle"", ""Parking"", ""Beach Access"", ""Pet Friendly"", ""Laundry Service""]","[""Family Room"", ""Double Room"", ""Cabin"", ""Deluxe Room""]",15:00,13:00,Non-refundable,Pet friendly,True,True,True,True,False,True,False,True,True,+1-670-547-6985,info@resortinnerie.com,"[""https://example.com/images/resort_inn_erie_1.jpg"", ""https://example.com/images/resort_inn_erie_2.jpg"", ""https://example.com/images/resort_inn_erie_3.jpg"", ""https://example.com/images/resort_inn_erie_4.jpg"", ""https://example.com/images/resort_inn_erie_5.jpg""]",Immerse yourself in the culture of Erie while enjoying world-class facilities at Resort Inn Erie.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC934448,Lodge Villa Bunbury,Villa,"4713 Main St, Bunbury",Bunbury,Australia,20238,29.392122,95.720487,5,"[""Concierge"", ""Pet Friendly"", ""Beach Access"", ""Pool"", ""Parking"", ""WiFi"", ""Restaurant"", ""Airport Shuttle"", ""Laundry Service"", ""Gym""]","[""Family Room"", ""Garden View Room"", ""Pool View Room""]",14:00,12:00,Non-refundable,No pets allowed,True,False,True,True,False,True,False,False,True,+84-286-327-2902,info@lodgevillabunbury.com,"[""https://example.com/images/lodge_villa_bunbury_1.jpg"", ""https://example.com/images/lodge_villa_bunbury_2.jpg""]","Experience luxury and comfort at Lodge Villa Bunbury, located in the heart of Bunbury.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC322254,Palace Guesthouse Lisburn,Guesthouse,"4011 Elm St, Lisburn",Lisburn,United Kingdom,58411,48.548486,62.218117,3,"[""Pet Friendly"", ""Fitness Center"", ""Dry Cleaning"", ""Bar"", ""Spa"", ""Pool"", ""Airport Shuttle""]","[""Studio"", ""Penthouse"", ""City View Room"", ""Pool View Room"", ""Family Room"", ""Suite"", ""Single Room"", ""Twin Room""]",15:00,11:00,Partial refund,No pets allowed,False,True,False,True,True,False,True,True,False,+10-107-830-2038,info@palaceguesthouselisburn.com,"[""https://example.com/images/palace_guesthouse_lisburn_1.jpg"", ""https://example.com/images/palace_guesthouse_lisburn_2.jpg""]","Your gateway to Lisburn, Palace Guesthouse Lisburn offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC907088,Royal Inn Paris,Inn,"1307 Main St, Paris",Paris,France,49679,48.927685,2.259629,4,"[""Airport Shuttle"", ""Pet Friendly"", ""Gym"", ""Bar"", ""Pool"", ""Fitness Center"", ""Beach Access"", ""Tennis Court"", ""Laundry Service"", ""Dry Cleaning""]","[""Penthouse"", ""Suite"", ""City View Room"", ""Presidential Suite""]",16:00,11:00,Non-refundable,No pets allowed,False,True,True,False,False,False,False,True,True,+77-238-263-6537,info@royalinnparis.com,"[""https://example.com/images/royal_inn_paris_1.jpg"", ""https://example.com/images/royal_inn_paris_2.jpg"", ""https://example.com/images/royal_inn_paris_3.jpg"", ""https://example.com/images/royal_inn_paris_4.jpg"", ""https://example.com/images/royal_inn_paris_5.jpg"", ""https://example.com/images/royal_inn_paris_6.jpg""]","Experience luxury and comfort at Royal Inn Paris, located in the heart of Paris.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC427108,Villa Condo Laval,Condo,"9465 Elm St, Laval",Laval,Canada,24183,33.151465,85.260573,5,"[""Beach Access"", ""Golf Course"", ""WiFi"", ""Concierge"", ""Gym"", ""Restaurant"", ""24/7 Front Desk"", ""Fitness Center""]","[""Ocean View Room"", ""Suite"", ""Cabin"", ""Family Room""]",16:00,13:00,Partial refund,Pet friendly,False,True,True,True,False,False,False,False,False,+10-400-346-1813,info@villacondolaval.com,"[""https://example.com/images/villa_condo_laval_1.jpg"", ""https://example.com/images/villa_condo_laval_2.jpg"", ""https://example.com/images/villa_condo_laval_3.jpg""]","Your gateway to Laval, Villa Condo Laval offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC273408,Plaza Al Rolla Lodge,Boutique Hotel,"3426 Elm St, Al Rolla",Al Rolla,United Arab Emirates,96983,19.629313,3.68314,1,"[""24/7 Front Desk"", ""Dry Cleaning"", ""Business Center"", ""Pool"", ""Airport Shuttle"", ""Elevator"", ""Restaurant"", ""Room Service"", ""Gym"", ""WiFi"", ""Concierge"", ""Spa""]","[""Villa"", ""Single Room"", ""Suite""]",14:00,12:00,Partial refund,Pets on request,True,True,True,False,False,False,False,False,True,+45-910-268-4095,info@plazaalrollalodge.com,"[""https://example.com/images/plaza_al_rolla_lodge_1.jpg"", ""https://example.com/images/plaza_al_rolla_lodge_2.jpg"", ""https://example.com/images/plaza_al_rolla_lodge_3.jpg"", ""https://example.com/images/plaza_al_rolla_lodge_4.jpg""]","Your gateway to Al Rolla, Plaza Al Rolla Lodge offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC882796,Resort Motel Dresden,Motel,"2841 Park Ave, Dresden",Dresden,Germany,23745,62.677334,8.767312,4,"[""Elevator"", ""Pet Friendly"", ""Airport Shuttle"", ""Parking"", ""Bar"", ""Gym"", ""Beach Access"", ""Dry Cleaning"", ""24/7 Front Desk""]","[""Standard Room"", ""Garden View Room"", ""Twin Room""]",14:00,11:00,Non-refundable,Pet friendly,False,False,True,False,True,False,False,True,True,+52-924-634-8736,info@resortmoteldresden.com,"[""https://example.com/images/resort_motel_dresden_1.jpg"", ""https://example.com/images/resort_motel_dresden_2.jpg"", ""https://example.com/images/resort_motel_dresden_3.jpg"", ""https://example.com/images/resort_motel_dresden_4.jpg"", ""https://example.com/images/resort_motel_dresden_5.jpg""]","Your gateway to Dresden, Resort Motel Dresden offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC593035,Plaza Bed & Breakfast Albany,Bed & Breakfast,"9747 Park Ave, Albany",Albany,United States,49238,-38.421287,96.111692,4,"[""Dry Cleaning"", ""24/7 Front Desk"", ""Beach Access"", ""Fitness Center"", ""Elevator"", ""Bar"", ""Room Service"", ""Parking"", ""Spa"", ""Pool"", ""Golf Course"", ""Pet Friendly""]","[""Ocean View Room"", ""Penthouse"", ""Studio"", ""Presidential Suite"", ""Deluxe Room"", ""Standard Room"", ""Family Room"", ""Twin Room""]",14:00,13:00,Non-refundable,No pets allowed,True,True,False,True,False,False,False,False,True,+41-726-357-9690,info@plazabed&breakfastalbany.com,"[""https://example.com/images/plaza_bed_&_breakfast_albany_1.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_2.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_3.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_4.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_5.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_6.jpg"", ""https://example.com/images/plaza_bed_&_breakfast_albany_7.jpg""]","Experience luxury and comfort at Plaza Bed & Breakfast Albany, located in the heart of Albany.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC874720,Lodge Bed & Breakfast Newtownabbey,Bed & Breakfast,"1477 Main St, Newtownabbey",Newtownabbey,United Kingdom,12252,19.66374,137.30113,5,"[""Dry Cleaning"", ""Golf Course"", ""Laundry Service"", ""Room Service"", ""Parking"", ""Beach Access"", ""Airport Shuttle"", ""Concierge"", ""Business Center"", ""Tennis Court"", ""WiFi"", ""Restaurant""]","[""Pool View Room"", ""Standard Room"", ""Studio"", ""Ocean View Room""]",16:00,11:00,Free cancellation,Pet friendly,True,True,False,True,False,False,True,False,True,+83-723-318-1412,info@lodgebed&breakfastnewtownabbey.com,"[""https://example.com/images/lodge_bed_&_breakfast_newtownabbey_1.jpg"", ""https://example.com/images/lodge_bed_&_breakfast_newtownabbey_2.jpg""]","Relax and unwind at Lodge Bed & Breakfast Newtownabbey, where every detail is designed for your comfort.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
