flight_id,flight_number,airline,aircraft_type,departure_airport,arrival_airport,departure_time,arrival_time,duration_minutes,available_seats,seat_configuration,price_economy,price_business,price_first,meal_service,baggage_allowance,layovers,status,created_at,updated_at
FL920002,XX3040,Etihad Airways,Airbus A350,NAK,LHR,2026-01-25T02:08:57Z,2026-01-25T23:59:57Z,1311,106,1-2-1,1320,3633,8166,No Meal,Extra Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL786632,XX2286,Alitalia,Boeing 757,JOL,LON,2026-08-23T23:23:57Z,2026-08-24T13:14:57Z,831,302,3-3-3,249,761,1702,Special Diet,32kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL280349,XX6847,Turkish Airlines,Boeing 737,NEW,BUS,2025-12-21T03:53:57Z,2025-12-22T02:33:57Z,1360,111,2-2-2,1597,4391,9001,Snack,No Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL956219,XX7027,Japan Airlines,Boeing 757,FRA,MRS,2026-02-17T11:08:57Z,2026-02-18T10:30:57Z,1402,348,1-2-1,608,2052,3190,Snack,23kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL800586,QR2091,Qatar Airways,Airbus A380,SAV,ALB,2026-02-21T05:53:57Z,2026-02-21T12:44:57Z,411,362,2-2,638,2515,4564,No Meal,23kg,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL342711,AA9029,American Airlines,Boeing 777,LYS,CNS,2025-10-14T13:38:57Z,2025-10-14T17:30:57Z,232,242,2-3-2,932,2591,7360,Snack,23kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL972924,XX9696,Air Canada,Boeing 737,AL ,CIN,2025-10-07T10:08:57Z,2025-10-07T21:09:57Z,661,305,2-4-2,1727,4483,13008,Snack,Extra Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL865870,XX8200,Qantas,Airbus A320,DOT,POI,2026-02-04T05:38:57Z,2026-02-04T23:50:57Z,1092,108,3-3,1594,6135,10266,Full Meal,Extra Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL152494,UA5033,United Airlines,Boeing 777,ABE,ALB,2026-07-16T02:08:57Z,2026-07-16T18:29:57Z,981,207,3-4-3,1738,6431,8876,Special Diet,No Baggage,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL636732,XX9231,WestJet,Airbus A350,SAV,BÉZ,2026-01-04T17:53:57Z,2026-01-05T17:11:57Z,1398,264,2-4-2,1707,5367,9937,Special Diet,Extra Baggage,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL342395,XX2928,Saudia,ATR 72,VIC,REA,2026-01-07T02:08:57Z,2026-01-07T18:48:57Z,1000,54,3-3,1598,4462,12286,Full Meal,23kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL880553,AF7557,Air France,Boeing 747,SHI,ALB,2026-04-13T22:23:57Z,2026-04-14T01:24:57Z,181,366,3-4-3,469,1656,2653,Special Diet,32kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL986046,XX7725,LATAM Airlines,Boeing 787,LA ,OFF,2026-09-07T00:38:57Z,2026-09-07T12:24:57Z,706,159,1-2-1,1463,4599,8210,No Meal,Extra Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL284910,XX7180,Turkish Airlines,ATR 72,VIL,BAN,2025-10-18T06:08:57Z,2025-10-18T22:25:57Z,977,252,1-2-1,1935,6541,14852,Special Diet,No Baggage,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL362893,XX4174,Thai Airways,Airbus A380,HEI,WRE,2026-04-18T09:38:57Z,2026-04-18T19:20:57Z,582,374,3-3-3,1959,5341,11337,Special Diet,32kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL351338,AA1745,American Airlines,Embraer E-Jet,ASA,POR,2026-04-09T00:08:57Z,2026-04-09T09:29:57Z,561,342,1-2-1,1298,4975,7245,Special Diet,Extra Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL175674,XX9137,Scandinavian Airlines,Boeing 737,DER,STE,2025-12-11T13:38:57Z,2025-12-11T23:44:57Z,606,312,3-3,334,898,2045,Special Diet,23kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL926372,XX7801,Saudia,Boeing 757,LAX,SHE,2026-01-30T02:53:57Z,2026-01-30T16:23:57Z,810,142,1-2-1,1808,4959,11860,Full Meal,Extra Baggage,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL102089,CX7949,Cathay Pacific,Airbus A320,TEN,AL ,2026-04-03T22:08:57Z,2026-04-04T05:48:57Z,460,148,3-3,951,3394,6575,Special Diet,32kg,3+ Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL358540,EK4059,Emirates,Airbus A330,AL ,PER,2026-01-01T03:38:57Z,2026-01-01T22:22:57Z,1124,133,2-2,468,1808,3391,No Meal,32kg,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL642136,XX7888,Etihad Airways,Boeing 757,DAR,LET,2026-04-10T04:08:57Z,2026-04-10T17:04:57Z,776,314,1-2-1,558,1499,3980,Full Meal,No Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL831421,SQ5786,Singapore Airlines,ATR 72,NEW,MON,2026-03-23T22:08:57Z,2026-03-24T01:35:57Z,207,64,3-3-3,1239,4131,9362,Snack,No Baggage,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL544376,CX5456,Cathay Pacific,Boeing 747,LA ,GEE,2025-12-23T13:38:57Z,2025-12-24T01:20:57Z,702,58,3-3-3,660,2079,4594,No Meal,Extra Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL488407,XX5653,Japan Airlines,Airbus A320,CHE,YEG,2026-07-26T23:23:57Z,2026-07-27T21:30:57Z,1327,311,3-3-3,863,2937,4602,No Meal,Extra Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL812116,LH7183,Lufthansa,Airbus A350,YVR,MEL,2026-06-28T17:23:57Z,2026-06-29T12:15:57Z,1132,296,1-2-1,1717,4490,13359,No Meal,No Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL300385,XX6868,Alitalia,Boeing 787,OBI,MAN,2026-09-15T13:23:57Z,2026-09-16T02:50:57Z,807,204,2-2-2,1182,4692,9080,Special Diet,Extra Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL852369,XX2133,Air Canada,Airbus A320,AL ,DRE,2025-11-13T13:23:57Z,2025-11-13T17:15:57Z,232,258,3-3,667,2088,3644,No Meal,32kg,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL422734,AF1511,Air France,ATR 72,HAR,SWA,2025-09-24T11:08:57Z,2025-09-25T01:09:57Z,841,95,3-4-3,1669,4617,11302,No Meal,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL319889,XX8354,Scandinavian Airlines,Embraer E-Jet,IAH,AL ,2025-12-21T05:38:57Z,2025-12-21T07:42:57Z,124,242,2-3-2,1559,4566,9836,Snack,23kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL684815,EK8115,Emirates,Boeing 757,THO,NUR,2026-07-16T14:23:57Z,2026-07-17T13:21:57Z,1378,342,2-2-2,1952,6171,12829,No Meal,23kg,1 Stop,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL299671,XX4241,Thai Airways,Embraer E-Jet,LET,BAN,2026-04-05T01:53:57Z,2026-04-05T05:32:57Z,219,80,3-4-3,1884,5928,14336,Special Diet,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL985866,BA2144,British Airways,Airbus A380,DEI,DER,2025-12-30T18:23:57Z,2025-12-31T12:45:57Z,1102,66,1-2-1,787,2801,4261,Special Diet,Extra Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL550103,WN6420,Southwest Airlines,Bombardier CRJ,HAK,PER,2026-09-01T01:38:57Z,2026-09-01T21:28:57Z,1190,304,1-2-1,423,1479,3201,Special Diet,No Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL772412,WN7149,Southwest Airlines,Boeing 737,DAR,SAI,2025-12-29T04:38:57Z,2025-12-30T03:27:57Z,1369,361,3-3-3,1917,5464,13137,Full Meal,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL269787,QR3026,Qatar Airways,Airbus A330,ADL,LAV,2026-02-06T18:08:57Z,2026-02-07T16:15:57Z,1327,357,2-4-2,267,785,2129,Special Diet,Extra Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL890814,XX9059,Japan Airlines,Airbus A320,JOL,YEG,2025-10-05T14:08:57Z,2025-10-06T11:58:57Z,1310,170,2-4-2,1518,4910,9438,Special Diet,No Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL872357,XX6347,Virgin Atlantic,Boeing 777,EDI,BUS,2026-01-06T21:08:57Z,2026-01-07T04:41:57Z,453,248,2-3-2,1169,3017,8936,Snack,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL943999,XX5181,Aeromexico,Airbus A350,TLS,AL ,2026-04-17T22:08:57Z,2026-04-18T11:02:57Z,774,200,3-3,1012,3820,7551,Snack,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL136874,XX7940,Saudia,Boeing 747,BAN,BUN,2026-06-20T11:53:57Z,2026-06-20T18:45:57Z,412,254,1-2-1,964,2945,6811,Special Diet,Extra Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL910144,XX8435,Japan Airlines,Boeing 787,AL ,HAK,2026-04-21T10:53:57Z,2026-04-21T20:20:57Z,567,117,2-4-2,350,1036,2495,Full Meal,32kg,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL784282,SQ6338,Singapore Airlines,Boeing 757,AL ,PLA,2026-07-01T15:53:57Z,2026-07-01T20:58:57Z,305,181,2-2-2,716,1915,4723,Full Meal,Extra Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL504870,XX8338,WestJet,Airbus A380,LET,GIN,2025-09-26T01:08:57Z,2025-09-26T14:51:57Z,823,338,2-4-2,1818,4696,11224,Full Meal,Extra Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL643093,XX2487,Thai Airways,Boeing 747,AL ,NEW,2026-02-12T07:08:57Z,2026-02-12T11:50:57Z,282,85,3-3,1636,6522,9071,Special Diet,23kg,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL279863,XX3327,Aeromexico,ATR 72,HEI,DAI,2026-03-24T00:23:57Z,2026-03-24T06:49:57Z,386,285,2-2-2,1989,6842,14432,No Meal,No Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL428643,XX7919,LATAM Airlines,ATR 72,LIS,ROC,2025-09-25T02:23:57Z,2025-09-25T20:17:57Z,1074,350,2-2-2,680,2677,4027,Special Diet,No Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL901798,XX2510,Iberia,Airbus A380,CTS,VIC,2025-11-25T04:53:57Z,2025-11-25T18:23:57Z,810,124,3-4-3,1402,4600,9899,Full Meal,Extra Baggage,Direct,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL164357,XX1224,Virgin Atlantic,Airbus A330,LEE,STR,2025-12-21T14:38:57Z,2025-12-22T06:52:57Z,974,204,2-2-2,1987,6396,15434,Snack,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL863359,DL1559,Delta Air Lines,Embraer E-Jet,DER,BÉZ,2025-11-02T18:53:57Z,2025-11-03T14:31:57Z,1178,310,3-3,887,3298,6180,Snack,32kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL142368,AA5711,American Airlines,Airbus A320,MAN,CLE,2026-02-06T00:53:57Z,2026-02-06T22:26:57Z,1293,369,3-4-3,910,3322,7214,Snack,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL282969,XX1478,Iberia,Boeing 747,BAL,ARG,2026-07-25T20:08:57Z,2026-07-26T10:46:57Z,878,125,2-2-2,1044,3544,7115,Full Meal,Extra Baggage,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL296893,LH1507,Lufthansa,Airbus A380,WHY,BAR,2025-10-30T05:23:57Z,2025-10-30T18:14:57Z,771,180,3-3-3,1034,2874,7493,No Meal,23kg,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL975577,WN8188,Southwest Airlines,Boeing 737,SAI,KAR,2026-01-20T00:23:57Z,2026-01-20T11:36:57Z,673,74,3-3-3,263,709,1513,No Meal,32kg,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL635175,XX4079,Qantas,Bombardier CRJ,AL ,YYC,2026-09-18T11:23:57Z,2026-09-19T08:13:57Z,1250,306,3-3,851,2592,5985,Snack,23kg,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL222299,XX7112,Saudia,Boeing 777,BAN,ZWI,2026-07-06T14:53:57Z,2026-07-06T16:12:57Z,79,111,2-2-2,1147,3688,6945,No Meal,Extra Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL207069,WN4731,Southwest Airlines,Boeing 757,ALB,CTS,2025-10-31T04:23:57Z,2025-10-31T16:35:57Z,732,211,1-2-1,498,1625,3863,No Meal,23kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL451097,XX9294,Korean Air,Embraer E-Jet,VIC,BHX,2026-03-08T03:08:57Z,2026-03-08T20:30:57Z,1042,344,2-4-2,1220,3794,9203,Full Meal,No Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL120475,CX3448,Cathay Pacific,Airbus A320,LIS,ARA,2025-11-19T22:53:57Z,2025-11-19T23:56:57Z,63,115,3-4-3,786,2519,6133,Full Meal,Extra Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL422263,XX6295,Air Canada,Airbus A350,LAV,MUR,2026-08-22T17:23:57Z,2026-08-22T21:46:57Z,263,164,3-3,1752,4892,12350,Special Diet,23kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL920779,XX8212,Alitalia,Boeing 747,WAG,YYC,2026-03-23T14:38:57Z,2026-03-24T01:25:57Z,647,299,1-2-1,1533,5018,9083,Snack,32kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL397646,AF9467,Air France,Boeing 757,NÎM,SYD,2026-03-03T22:08:57Z,2026-03-04T20:24:57Z,1336,212,3-4-3,903,2906,6055,Special Diet,No Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL460987,XX4814,Alitalia,Boeing 737,DOW,BNE,2026-09-14T12:38:57Z,2026-09-14T18:38:57Z,360,277,2-2,986,3069,6180,Snack,23kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL414187,SQ5541,Singapore Airlines,Airbus A330,BUR,PLA,2026-03-03T21:38:57Z,2026-03-04T08:04:57Z,626,105,3-4-3,1346,3937,6759,Snack,32kg,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL415999,EK1182,Emirates,ATR 72,STR,WOL,2026-07-12T07:38:57Z,2026-07-13T04:38:57Z,1260,143,1-2-1,387,1104,2940,Full Meal,23kg,1 Stop,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL765324,WN7999,Southwest Airlines,Embraer E-Jet,AL ,BNE,2026-02-07T03:08:57Z,2026-02-08T00:35:57Z,1287,152,2-2,895,2983,4794,Full Meal,32kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL697313,XX5343,Alitalia,ATR 72,BUS,POR,2026-09-11T10:38:57Z,2026-09-11T16:57:57Z,379,112,2-4-2,602,2058,4566,Snack,32kg,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL495007,SQ8439,Singapore Airlines,Boeing 757,YYZ,SAI,2026-06-28T13:23:57Z,2026-06-29T08:16:57Z,1133,184,1-2-1,1544,5429,10962,Snack,Extra Baggage,2 Stops,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
